epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,4293.848492495293,4293.848492495293,4474.610570629223,4474.610570629223
1,4121.345936798414,4121.345936798414,4343.279989706503,4343.279989706503
2,4011.468790454356,4011.468790454356,4244.213413217905,4244.213413217905
3,3924.324940704664,3924.324940704664,4161.92843116554,4161.92843116554
4,3850.250323069054,3850.250323069054,4090.381857052365,4090.381857052365
5,3785.0495246188802,3785.0495246188802,4026.5807709565033,4026.5807709565033
6,3726.3667235479434,3726.3667235479434,3968.602950802365,3968.602950802365
7,3672.7073155620837,3672.7073155620837,3915.224321684966,3915.224321684966
8,3623.1071717935256,3623.1071717935256,3865.599588260135,3865.599588260135
9,3576.8285750900745,3576.8285750900745,3819.1201171875,3819.1201171875
10,3533.3703536898897,3533.3703536898897,3775.3048009923987,3775.3048009923987
11,3492.3310230029692,3492.3310230029692,3733.831544288429,3733.831544288429
12,3453.3981147138434,3453.3981147138434,3694.376637721706,3694.376637721706
13,3416.320905170463,3416.320905170463,3656.707887721706,3656.707887721706
14,3380.886243199142,3380.886243199142,3620.6386085304052,3620.6386085304052
15,3346.920405912786,3346.920405912786,3586.0373587943413,3586.0373587943413
16,3314.3115825630975,3314.3115825630975,3552.742918602196,3552.742918602196
17,3282.9032976806925,3282.9032976806925,3520.6486446896115,3520.6486446896115
18,3252.6206133898827,3252.6206133898827,3489.6457889041385,3489.6457889041385
19,3223.361341421187,3223.361341421187,3459.6816445840373,3459.6816445840373
20,3195.047722561196,3195.047722561196,3430.6360536317566,3430.6360536317566
21,3167.6159546322783,3167.6159546322783,3402.4789432010134,3402.4789432010134
22,3140.9939864458106,3140.9939864458106,3375.1272790857265,3375.1272790857265
23,3115.1323805153716,3115.1323805153716,3348.5396484375,3348.5396484375
24,3089.995121430964,3089.995121430964,3322.659962257179,3322.659962257179
25,3065.5260158286865,3065.5260158286865,3297.4573097022803,3297.4573097022803
26,3041.672928510646,3041.672928510646,3272.8776934649495,3272.8776934649495
27,3018.4285468568946,3018.4285468568946,3248.8963180954393,3248.8963180954393
28,2995.7354245500796,2995.7354245500796,3225.478638355152,3225.478638355152
29,2973.576455055493,2973.576455055493,3202.603713576858,3202.603713576858
30,2951.9284266254163,2951.9284266254163,3180.2319401921454,3180.2319401921454
31,2930.755093288311,2930.755093288311,3158.345513091216,3158.345513091216
32,2910.042856722552,2910.042856722552,3136.9095056482265,3136.9095056482265
33,2889.753760557738,2889.753760557738,3115.9229413006756,3115.9229413006756
34,2869.8860078283424,2869.8860078283424,3095.3485509923985,3095.3485509923985
35,2850.4137343387893,2850.4137343387893,3075.1821249472127,3075.1821249472127
36,2831.328459384958,2831.328459384958,3055.396356366132,3055.396356366132
37,2812.5957202403047,2812.5957202403047,3035.9767366976353,3035.9767366976353
38,2794.217013574558,2794.217013574558,3016.910739548142,3016.910739548142
39,2776.1708882531866,2776.1708882531866,2998.1819243559967,2998.1819243559967
40,2758.4456740431274,2758.4456740431274,2979.7782807221283,2979.7782807221283
41,2741.032919095814,2741.032919095814,2961.6914326435813,2961.6914326435813
42,2723.91123635302,2723.91123635302,2943.9021563555743,2943.9021563555743
43,2707.0814773365078,2707.0814773365078,2926.405196896115,2926.405196896115
44,2690.531303184748,2690.531303184748,2909.192010663007,2909.192010663007
45,2674.2430545811303,2674.2430545811303,2892.2571632179056,2892.2571632179056
46,2658.221919584661,2658.221919584661,2875.583624102618,2875.583624102618
47,2642.4455255218895,2642.4455255218895,2859.163650760135,2859.163650760135
48,2626.922413071227,2626.922413071227,2842.992388091216,2842.992388091216
49,2611.6281093274733,2611.6281093274733,2827.0626953125,2827.0626953125
50,2596.5622779253877,2596.5622779253877,2811.3607712204393,2811.3607712204393
51,2581.7160802953904,2581.7160802953904,2795.891430004223,2795.891430004223
52,2567.087739557684,2567.087739557684,2780.640578811233,2780.640578811233
53,2552.6658540904727,2552.6658540904727,2765.5985325168917,2765.5985325168917
54,2538.451059281757,2538.451059281757,2750.7657833614867,2750.7657833614867
55,2524.427744842211,2524.427744842211,2736.129439400338,2736.129439400338
56,2510.595130257369,2510.595130257369,2721.68984375,2721.68984375
57,2496.9489754580677,2496.9489754580677,2707.441788956926,2707.441788956926
58,2483.485327799102,2483.485327799102,2693.3744496938343,2693.3744496938343
59,2470.1963507341757,2470.1963507341757,2679.4927773965373,2679.4927773965373
60,2457.0804833758057,2457.0804833758057,2665.7859559755066,2665.7859559755066
61,2444.133669962612,2444.133669962612,2652.245676731419,2652.245676731419
62,2431.349317707579,2431.349317707579,2638.8715213260134,2638.8715213260134
63,2418.716462490042,2418.716462490042,2625.662427417652,2625.662427417652
64,2406.2422836851824,2406.2422836851824,2612.6131281672297,2612.6131281672297
65,2393.9210545969727,2393.9210545969727,2599.716651710304,2599.716651710304
66,2381.7468662018846,2381.7468662018846,2586.9746450063344,2586.9746450063344
67,2369.717161530001,2369.717161530001,2574.378597445101,2574.378597445101
68,2357.829736667602,2357.829736667602,2561.9248653927366,2561.9248653927366
69,2346.0758629508255,2346.0758629508255,2549.6121529244087,2549.6121529244087
70,2334.4571707185146,2334.4571707185146,2537.4357751794764,2537.4357751794764
71,2322.970618538619,2322.970618538619,2525.3922996727197,2525.3922996727197
72,2311.6117861362072,2311.6117861362072,2513.482594752956,2513.482594752956
73,2300.3750400300096,2300.3750400300096,2501.704885451858,2501.704885451858
74,2289.269137456547,2289.269137456547,2490.05260900549,2490.05260900549
75,2278.2788173635754,2278.2788173635754,2478.5214368665543,2478.5214368665543
76,2267.409321136298,2267.409321136298,2467.1113452808277,2467.1113452808277
77,2256.6531674063494,2256.6531674063494,2455.823803051098,2455.823803051098
78,2246.011908291389,2246.011908291389,2444.654083086993,2444.654083086993
