epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,4287.621595044539,4287.621595044539,4490.193649704392,4490.193649704392
1,4127.401040723675,4127.401040723675,4370.988314241977,4370.988314241977
2,4025.9071680026977,4025.9071680026977,4280.942678420608,4280.942678420608
3,3945.468383930511,3945.468383930511,4206.242777396537,4206.242777396537
4,3877.2002541551997,3877.2002541551997,4141.3777805637665,4141.3777805637665
5,3817.138445839821,3817.138445839821,4083.4563766891893,4083.4563766891893
6,3763.0611913157227,3763.0611913157227,4030.7910538956926,4030.7910538956926
7,3713.613893157499,3713.613893157499,3982.2623389991554,3982.2623389991554
8,3667.8883841681454,3667.8883841681454,3937.1528373099663,3937.1528373099663
9,3625.2513239607474,3625.2513239607474,3894.9077293602195,3894.9077293602195
10,3585.2193180583718,3585.2193180583718,3855.0696658572633,3855.0696658572633
11,3547.4079473855736,3547.4079473855736,3817.3350493559965,3817.3350493559965
12,3511.5444494360154,3511.5444494360154,3781.4586029877532,3781.4586029877532
13,3477.4092744581944,3477.4092744581944,3747.209423828125,3747.209423828125
14,3444.792735076586,3444.792735076586,3714.4167150548988,3714.4167150548988
15,3413.54702323834,3413.54702323834,3682.952829391892,3682.952829391892
16,3383.5426660495727,3383.5426660495727,3652.6733543602195,3652.6733543602195
17,3354.6634265462053,3354.6634265462053,3623.486452174831,3623.486452174831
18,3326.8088650487944,3326.8088650487944,3595.299420660895,3595.299420660895
19,3299.90818898012,3299.90818898012,3568.0376636402025,3568.0376636402025
20,3273.8850340948184,3273.8850340948184,3541.6284654771957,3541.6284654771957
21,3248.667604377897,3248.667604377897,3516.0050636085302,3516.0050636085302
22,3224.203624597154,3224.203624597154,3491.125761454814,3491.125761454814
23,3200.4455572064203,3200.4455572064203,3466.936233108108,3466.936233108108
24,3177.3507604853166,3177.3507604853166,3443.3938859269424,3443.3938859269424
25,3154.8727243717412,3154.8727243717412,3420.4612713788006,3420.4612713788006
26,3132.973686563043,3132.973686563043,3398.1007931271115,3398.1007931271115
27,3111.626716056815,3111.626716056815,3376.2790698902027,3376.2790698902027
28,3090.799537349272,3090.799537349272,3354.9730006862333,3354.9730006862333
29,3070.4593139506987,3070.4593139506987,3334.1494404560813,3334.1494404560813
30,3050.585651490531,3050.585651490531,3313.788190192145,3313.788190192145
31,3031.1550162835856,3031.1550162835856,3293.866526340794,3293.866526340794
32,3012.149765138416,3012.149765138416,3274.361058910473,3274.361058910473
33,2993.542863229197,2993.542863229197,3255.251041226774,3255.251041226774
34,2975.3170501249274,2975.3170501249274,3236.524582981419,3236.524582981419
35,2957.4578991798235,2957.4578991798235,3218.157320259713,3218.157320259713
36,2939.9478877168126,2939.9478877168126,3200.1412214949323,3200.1412214949323
37,2922.7764758201765,2922.7764758201765,3182.4540870460305,3182.4540870460305
38,2905.92288098385,2905.92288098385,3165.0898543074322,3165.0898543074322
39,2889.3797928510644,2889.3797928510644,3148.0341242609798,3148.0341242609798
40,2873.130580155073,2873.130580155073,3131.274561866554,3131.274561866554
