date,y_pred,y_true
2018-04-10,90.67789822280407,92.88
2018-04-11,90.69312187790871,91.86
2018-04-12,90.25328499138355,93.58
2018-04-13,91.37281025409699,93.08
2018-04-16,91.58920666635036,94.17
2018-04-17,92.25073596894741,96.07
2018-04-18,93.11891307890416,96.44
2018-04-19,93.42658545732499,96.11
2018-04-20,93.43192386686802,95.0
2018-04-23,93.45761702418328,95.35
2018-04-24,93.08186932265758,93.12
2018-04-25,91.89189872801305,92.31
2018-04-26,91.57326211392879,94.26
2018-04-27,92.48808080911637,95.82
2018-04-30,92.56531105697155,93.52
2018-05-01,92.11463715195656,95.0
2018-05-02,92.87620155870914,93.51
2018-05-03,92.6188836222887,94.07
2018-05-04,92.63561974823475,95.16
2018-05-07,93.2429639583826,96.22
2018-05-08,93.58692621350289,95.81
2018-05-09,93.6978407418728,96.94
2018-05-10,94.39775664865971,97.91
2018-05-11,94.79181419968606,97.7
2018-05-14,94.82309548914432,98.03
2018-05-15,95.13690256237984,97.32
2018-05-16,94.92553829610348,97.15
2018-05-17,94.45117843806744,96.18
2018-05-18,94.38609507441521,96.36
2018-05-21,94.80471496343613,97.6
2018-05-22,95.03917150259018,97.5
2018-05-23,94.98916572988034,98.66
2018-05-24,95.41798183977605,98.31
2018-05-25,95.57391711235047,98.36
2018-05-29,95.58557868659497,98.01
2018-05-30,95.76257075726986,98.95
2018-05-31,95.79859206438064,98.84
2018-06-01,96.23218117415905,100.79
2018-06-04,96.8993174558878,101.67
2018-06-05,97.31198640823365,102.19
2018-06-06,97.90373473525048,102.49
2018-06-07,97.90887996315956,100.88
2018-06-08,97.96074216425419,101.63
2018-06-11,98.10428083002567,101.05
2018-06-12,97.96162797272206,101.31
2018-06-13,97.91913272500038,100.85
2018-06-14,98.24713158071042,101.42
2018-06-15,97.97032585799694,100.13
2018-06-18,97.75891447424888,100.86
2018-06-19,98.00578646719455,100.86
2018-06-20,98.19656982183457,101.87
2018-06-21,98.33149070203305,101.14
2018-06-22,98.04333909213543,100.41
2018-06-25,97.57107124984265,98.39
2018-06-26,96.9779188221693,99.08
2018-06-27,96.77606757342815,97.54
2018-06-28,96.15328296780586,98.63
2018-06-29,96.32217083334923,98.61
2018-07-02,96.78393147945404,100.01
2018-07-03,96.74717985153198,99.05
2018-07-05,96.90406218528747,99.76
2018-07-06,97.47977643668652,101.16
2018-07-09,97.87935615539551,101.85
2018-07-10,98.21624607801438,102.12
2018-07-11,98.67614087224007,101.98
2018-07-12,99.01271510779858,104.19
2018-07-13,99.95893288612366,105.43
2018-07-16,100.30162296950817,104.91
2018-07-17,100.56582948029042,105.95
2018-07-18,100.99790140748024,105.12
2018-07-19,100.88441897690296,104.4
2018-07-20,100.88139874696732,106.27
2018-07-23,102.10352230429649,107.97
2018-07-24,102.24930376172065,107.66
2018-07-25,102.58624080181121,110.83
2018-07-26,103.65604770839215,109.62
2018-07-27,103.79433748781682,107.68
2018-07-30,103.47025409400463,105.37
2018-07-31,102.85729348123074,106.08
2018-08-01,102.54035309612752,106.28
2018-08-02,102.10020994603634,107.57
2018-08-03,102.57339657902718,108.04
2018-08-06,103.07161201298237,108.13
2018-08-07,103.19502209484577,108.88
2018-08-08,103.52674794256687,109.49
2018-08-09,103.89528667092324,109.67
2018-08-10,103.8464682585001,109.0
2018-08-13,103.80605089128018,108.21
2018-08-14,104.35804620742798,109.56
2018-08-15,104.24556266725064,107.66
2018-08-16,103.47748191416264,107.64
2018-08-17,103.68820067107677,107.58
2018-08-20,103.46316762626171,106.87
2018-08-21,102.87555150151253,105.98
2018-08-22,102.86145866572858,107.06
2018-08-23,103.25877203404903,107.56
2018-08-24,103.3129147207737,108.4
2018-08-27,103.43005346715451,109.6
2018-08-28,103.99439827263356,110.26
2018-08-29,104.52487503945828,112.02
2018-08-30,105.1907014554739,111.95
2018-08-31,105.7271904116869,112.33
2018-09-04,106.00276165664197,111.71
2018-09-05,105.56226512551308,108.49
2018-09-06,104.90538631737232,108.74
2018-09-07,104.6982956057787,108.21
2018-09-10,104.47687647104263,109.38
2018-09-11,104.80832432568073,111.24
2018-09-12,105.33861733436585,111.71
2018-09-13,105.58858965694904,112.91
2018-09-14,106.24900227546692,113.37
2018-09-17,106.40383028745651,112.14
2018-09-18,106.55636367857457,113.21
2018-09-19,106.61575053989887,111.7
2018-09-20,106.70184829592705,113.57
2018-09-21,107.10428804516792,114.26
2018-09-24,107.2119326210022,114.67
2018-09-25,107.39478139340878,114.45
2018-09-26,107.72585702002048,113.98
2018-09-27,107.96886538028717,114.41
2018-09-28,107.91893499553204,114.37
2018-10-01,107.99687200546265,115.61
2018-10-02,108.03074004411698,115.15
2018-10-03,108.20703948795796,115.17
2018-10-04,108.14954674899579,112.79
2018-10-05,107.6506339764595,112.13
2018-10-08,107.2488632953167,110.85
2018-10-09,106.83494572997094,112.26
2018-10-10,106.73951871454716,106.16
2018-10-11,104.36523162186145,105.91
2018-10-12,104.28041546106338,109.57
2018-10-15,104.77643050909043,107.6
2018-10-16,103.89898068070411,111.0
2018-10-17,104.87437830924988,110.71
2018-10-18,105.04824177980423,108.5
2018-10-19,104.87825136542321,108.66
2018-10-22,105.40011977016925,109.63
2018-10-23,105.13719485461712,108.1
2018-10-24,103.92401890516281,102.32
2018-10-25,102.51703937113285,108.3
2018-10-26,103.84533743917942,106.96
2018-10-29,102.9894674128294,103.85
2018-10-30,102.0055038279295,103.73
2018-10-31,102.0915968722105,106.81
2018-11-01,103.33939002811908,105.92
2018-11-02,102.16145323574543,106.16
