date,y_pred,y_true
2018-04-09,90.58650446295738,90.77
2018-04-10,91.6609618639946,92.88
2018-04-11,91.60357278347016,91.86
2018-04-12,91.3775031542778,93.58
2018-04-13,92.40775494337082,93.08
2018-04-16,93.01505674779415,94.17
2018-04-17,93.6041476494074,96.07
2018-04-18,95.24433982133866,96.44
2018-04-19,95.49261120319366,96.11
2018-04-20,95.37577400863171,95.0
2018-04-23,95.19728831410409,95.35
2018-04-24,94.35757486879825,93.12
2018-04-25,93.14989281654358,92.31
2018-04-26,92.46955893099309,94.26
2018-04-27,94.04703774809838,95.82
2018-04-30,94.38477107346058,93.52
2018-05-01,93.85193372130394,95.0
2018-05-02,94.22707831919193,93.51
2018-05-03,94.24684409856796,94.07
2018-05-04,94.01983211994171,95.16
2018-05-07,95.04812853395939,96.22
2018-05-08,95.39118613362312,95.81
2018-05-09,95.72106026470661,96.94
2018-05-10,96.2944798952341,97.91
2018-05-11,97.07559334099292,97.7
2018-05-14,96.9414828813076,98.03
2018-05-15,97.29074585199356,97.32
2018-05-16,96.77108725667,97.15
2018-05-17,95.91670143067837,96.18
2018-05-18,96.05070823192597,96.36
2018-05-21,96.7973929411173,97.6
2018-05-22,97.14001706004143,97.5
2018-05-23,97.40593864679337,98.66
2018-05-24,97.54079356253148,98.31
2018-05-25,98.00930143058301,98.36
2018-05-29,97.64677017986774,98.01
2018-05-30,98.10717855453491,98.95
2018-05-31,97.87322146058082,98.84
2018-06-01,99.08378239035606,100.79
2018-06-04,99.72416537165643,101.67
2018-06-05,100.96619606077671,102.19
2018-06-06,101.42450299620629,102.49
2018-06-07,101.08010726034641,100.88
2018-06-08,100.91622327029705,101.63
2018-06-11,100.65143250286579,101.05
2018-06-12,100.78781873643399,101.31
2018-06-13,100.47211282908917,100.85
2018-06-14,101.47382085382938,101.42
2018-06-15,100.54741126060486,100.13
2018-06-18,100.7602785742283,100.86
2018-06-19,100.28557475864888,100.86
2018-06-20,100.90761961996556,101.87
2018-06-21,100.71392911732197,101.14
2018-06-22,100.77846591830254,100.41
2018-06-25,99.54400700688362,98.39
2018-06-26,98.85902262687684,99.08
2018-06-27,98.54040485978126,97.54
2018-06-28,98.13188695669174,98.63
2018-06-29,98.06903696119785,98.61
2018-07-02,99.12461910307408,100.01
2018-07-03,98.40170987010002,99.05
2018-07-05,99.29880297243595,99.76
2018-07-06,99.46853895246983,101.16
2018-07-09,100.40042359590531,101.85
2018-07-10,100.92275375187397,102.12
2018-07-11,101.62253772974015,101.98
2018-07-12,101.88388892173768,104.19
2018-07-13,103.3363321042061,105.43
2018-07-16,104.02584918498994,104.91
2018-07-17,104.41492170751096,105.95
2018-07-18,104.79227611482143,105.12
2018-07-19,104.48373677492143,104.4
2018-07-20,104.612155444026,106.27
2018-07-23,106.46262818038464,107.97
2018-07-24,106.55053995907306,107.66
2018-07-25,107.15820927977562,110.83
2018-07-26,108.50767251610756,109.62
2018-07-27,108.66405069291592,107.68
2018-07-30,107.29163653612137,105.37
2018-07-31,106.31659700036049,106.08
2018-08-01,105.81649215579033,106.28
2018-08-02,105.83292672991753,107.57
2018-08-03,106.63986526191235,108.04
2018-08-06,107.82280592978,108.13
2018-08-07,108.01744349360466,108.88
2018-08-08,108.28655022144318,109.49
2018-08-09,108.92349833905698,109.67
2018-08-10,108.5383412784338,109.0
2018-08-13,108.01162448585033,108.21
2018-08-14,108.71107864141464,109.56
2018-08-15,108.12377820372582,107.66
2018-08-16,107.43073673605919,107.64
2018-08-17,107.24599855303765,107.58
2018-08-20,107.2096945410967,106.87
2018-08-21,106.0874600237608,105.98
2018-08-22,106.5012645071745,107.06
2018-08-23,106.97784359812736,107.56
2018-08-24,107.23200466394425,108.4
2018-08-27,107.51788521170616,109.6
2018-08-28,108.6048805719614,110.26
2018-08-29,109.47948450505734,112.02
2018-08-30,110.54356192708016,111.95
2018-08-31,111.3538175290823,112.33
2018-09-04,111.27125829517841,111.71
2018-09-05,110.01165278911591,108.49
2018-09-06,108.54541832268238,108.74
2018-09-07,107.9990723913908,108.21
2018-09-10,108.15025822281838,109.38
2018-09-11,108.89663195669651,111.24
2018-09-12,110.31203609466553,111.71
2018-09-13,110.82013677418232,112.91
2018-09-14,112.08221594750881,113.37
2018-09-17,112.00574900269508,112.14
2018-09-18,111.94188598155975,113.21
2018-09-19,111.46492523908616,111.7
2018-09-20,111.75382601678372,113.57
2018-09-21,111.9907797819376,114.26
2018-09-24,113.39789124488831,114.67
2018-09-25,112.81748880505562,114.45
2018-09-26,113.72169193387032,113.98
2018-09-27,113.72641310453415,114.41
2018-09-28,113.38370417416095,114.37
2018-10-01,113.68081281542779,115.61
2018-10-02,113.7896400398016,115.15
2018-10-03,114.36610345900058,115.17
2018-10-04,113.49224398195744,112.79
2018-10-05,112.41201469063759,112.13
2018-10-08,111.04981560170651,110.85
2018-10-09,110.76967396199703,112.26
2018-10-10,110.84181552290917,106.16
2018-10-11,107.49923140466214,105.91
2018-10-12,106.89880403935909,109.57
2018-10-15,108.34530570864678,107.6
2018-10-16,107.39081881403924,111.0
2018-10-17,108.90020817279816,110.71
2018-10-18,109.4626400089264,108.5
2018-10-19,108.39287079632282,108.66
2018-10-22,109.10675232172012,109.63
2018-10-23,108.6479129588604,108.1
2018-10-24,106.58535505890846,102.32
2018-10-25,104.77494159698486,108.3
2018-10-26,106.94528071343899,106.96
2018-10-29,105.89436791300774,103.85
2018-10-30,103.93862532138824,103.73
2018-10-31,103.64973396718503,106.81
2018-11-01,105.81525296628476,105.92
