moving_average,weighted_moving_average,momentum,stochastic_K,stochastic_D,RSI,MACD,Larry_Williams_R,A_D,CCI,close_price
36.52950000000003,36.47263636363637,-0.625,21.350762527233186,50.479145423714925,51.0936132983377,0.040407923425533454,78.64923747276681,-0.490000000000002,-220.4732204732017,37.98
36.505000000000024,36.47818181818182,0.5300000000000011,37.908496732026315,46.82136495993125,47.70813844714689,0.049440059685728954,62.09150326797369,-0.5500000000000043,-118.52460138230232,37.69
36.58200000000003,36.53181818181818,0.529999999999994,48.36601307189537,46.86344571917557,58.00415800415796,0.07509839938034446,51.63398692810463,-0.509999999999998,100.12313104660824,37.54
36.67250000000003,36.63963636363636,0.5150000000000006,64.7058823529411,47.717595598305294,59.15065722952472,0.12425979487463934,35.2941176470589,-0.3149999999999977,252.0349333980778,37.47
36.75350000000003,36.784636363636366,0.6099999999999994,77.55991285403049,49.85782333691033,58.35051546391754,0.18489325522060795,22.440087145969507,-0.1700000000000017,260.6282009956546,37.86
36.828500000000034,36.940363636363635,-0.23000000000000398,83.66013071895426,51.62285118713088,57.828810020876816,0.24145914859456497,16.33986928104574,-0.28000000000000114,217.67582640863716,38.31
36.80650000000003,37.084272727272726,1.1400000000000006,84.09586056644874,50.24340770791077,47.12041884816746,0.2838232058123964,15.904139433551274,-0.28999999999999915,228.57938546275176,37.78
36.90050000000003,37.195818181818176,1.0700000000000003,79.72350230414759,54.32123461175354,67.66917293233098,0.29782555029004953,20.276497695852413,-0.010000000000005116,182.05983209175164,38.41
37.01650000000002,37.30663636363636,1.6899999999999977,83.87096774193543,59.341191426515024,72.13740458015269,0.3125815119145301,16.12903225806457,-0.29999999999999716,120.3084465811439,38.11
37.20950000000003,37.44,1.5700000000000003,94.49541284403682,67.57369417136496,91.41630901287569,0.33972556718254765,5.504587155963185,-0.3549999999999969,90.80018750325458,38.15
37.38950000000003,37.580090909090906,1.4199999999999946,84.18803418803402,73.85742133744505,90.90909090909105,0.3754683390628131,15.811965811965983,-0.11999999999999744,93.63135883769078,37.9
37.502500000000026,37.63472727272727,0.8900000000000006,67.96116504854355,76.86268816909677,76.7772511848342,0.3760591906605981,32.03883495145646,-0.14999999999999858,30.554601788720852,37.82
37.576500000000024,37.64154545454545,0.365000000000002,45.637583892617364,76.58984525116897,68.31683168316847,0.3602707217909398,54.36241610738263,-0.18999999999999773,-0.10402038799417579,38.02
37.60600000000002,37.622181818181815,0.0,24.13793103448278,72.53305011932314,58.60058309037912,0.3382111439381674,75.86206896551721,-0.28000000000000114,-21.315039101094982,38.27
37.645000000000024,37.66836363636363,0.25,57.75862068965514,70.5529209028856,60.773480662983516,0.34818485195735605,42.24137931034486,-0.6300000000000026,3.651058392042655,37.89
37.715000000000025,37.789272727272724,0.6900000000000048,88.1889763779529,71.00580546878547,66.5094339622643,0.3879285280184632,11.811023622047104,-0.490000000000002,88.96257866680861,37.7
37.73100000000003,37.80109090909091,0.35999999999999943,46.456692913385986,67.24188870347919,53.03030303030311,0.3723666955533105,53.54330708661402,-0.2850000000000037,17.628101139881842,38.05
37.83000000000003,37.92454545454545,0.8999999999999986,94.5736434108527,68.7269028141497,66.12377850162862,0.40618729182074276,5.4263565891473124,-0.3399999999999963,117.36904293028545,39.55
37.89000000000003,37.97545454545455,0.35999999999999943,71.31782945736452,67.47158898569259,59.14634146341468,0.40412437104086507,28.682170542635482,-0.17999999999999972,60.113006625592874,39.27
37.93000000000002,38.02272727272727,0.1700000000000017,74.4186046511629,65.46390816640522,56.493506493506494,0.4010935998196956,25.581395348837095,-0.259999999999998,53.85653956181995,40.33
37.92200000000002,38.017272727272726,0.21000000000000085,55.03875968992258,62.548980716594066,48.70967741935486,0.3742051767852175,44.961240310077415,-0.21000000000000085,34.12121107956149,40.16
37.93500000000002,37.99872727272727,0.28000000000000114,48.83720930232581,60.6365851419723,52.24913494809694,0.342492535641,51.16279069767419,-0.10000000000000142,-25.678397695117578,40.5
37.98300000000002,38.01418181818181,0.5500000000000043,64.34108527131829,62.50693527984239,58.16326530612252,0.329697816389654,35.658914728681715,-0.30000000000000426,19.528143434826855,40.34
38.06300000000001,38.06636363636364,0.4100000000000037,83.2000000000005,68.41314217639416,62.8205128205129,0.3358592435700487,16.7999999999995,-0.480000000000004,55.0172337737112,39.79
38.06600000000001,38.03490909090909,-0.4200000000000017,40.10152284263994,66.64743239169265,50.48231511254022,0.3065457264769691,59.89847715736006,-0.24860000000000326,-21.78865538471326,39.36
38.00500000000001,37.96836363636364,-0.0799999999999983,20.81218274111731,59.909753028009085,39.298245614035075,0.26492920195700975,79.18781725888269,-0.19420000000000215,-155.0225527384071,40.3
38.032000000000004,37.97654545454545,-0.35999999999999943,55.86121946212263,60.85020568288276,55.056179775280846,0.2572247545187878,44.13878053787737,-0.259999999999998,33.35321023767274,40.99
38.146,38.25254545454546,1.4399999999999977,85.38133823406558,59.93097516520404,66.10169491525428,0.36791528995016165,14.618661765934412,-1.3299999999999983,481.06745022361326,41.42
38.262,38.45690909090909,1.1200000000000045,73.68640882131835,60.16783310159942,66.47727272727283,0.42810969474739125,26.31359117868165,-0.36000000000000654,293.3061549566968,41.35
38.480000000000004,38.83290909090909,2.4299999999999997,89.85110715194698,61.71108335167783,74.00881057268731,0.554950214805082,10.148892848053022,-1.0899999999999963,292.71722728400323,41.01
38.706,39.138363636363636,2.3399999999999963,77.287286704327,63.93593605311827,75.33632286995521,0.6344412181003705,22.71271329567299,-0.14999999999999858,211.89135336439688,39.87
